Transect.Label;Sample.Label;x;y
15;15-36;3465027,543;-1561997,840
15;15-37;3464676,229;-1562092,970
15;15-38;3464479,173;-1562390,400
15;15-39;3464282,660;-1562754,240
15;15-40;3463965,510;-1563106,710
15;15-41;3463671,723;-1563327,600
15;15-42;3463334,966;-1563425,250
15;15-43;3462978,949;-1563454,740
15;15-44;3462651,495;-1563463,020
15;15-45;3462438,288;-1563193,530
15;15-46;3462205,381;-1563310,730
15;15-47;3461934,306;-1563402,030
15;15-48;3461631,905;-1563586,140
16;16-1;3461552,450;-1562995,409
16;16-2;3461590,342;-1562831,700
16;16-3;3461759,537;-1563111,947
16;16-4;3461845,112;-1563295,540
17;17-1;3461625,363;-1562527,235
17;17-2;3461785,880;-1562263,236
17;17-3;3462010,199;-1561973,992
17;17-4;3461854,128;-1561708,713
17;17-5;3461501,001;-1561628,681
17;17-6;3461176,878;-1561616,150
17;17-7;3460857,538;-1561742,593
18;18-1;3461429,024;-1561386,381
18;18-2;3461488,275;-1561046,334
18;18-3;3461484,841;-1560718,566
18;18-4;3461241,035;-1560421,841
18;18-5;3461308,301;-1560086,971
18;18-6;3461260,393;-1559711,915
18;18-7;3461524,516;-1559839,651
18;18-8;3461680,721;-1560196,346
18;18-9;3461986,573;-1560414,940
18;18-10;3462344,790;-1560446,455
18;18-11;3462696,886;-1560515,548
18;18-12;3463058,816;-1560451,449
18;18-13;3463379,605;-1560668,400
18;18-14;3463677,418;-1560866,569
18;18-15;3464011,651;-1560986,074
18;18-16;3464145,084;-1560706,590
18;18-17;3464385,953;-1560532,304
18;18-18;3464672,648;-1560740,225
18;18-19;3465005,850;-1560931,855
18;18-20;3465328,521;-1561160,413
18;18-21;3465694,954;-1561188,525
19A;19A-1;3461080,404;-1559444,303
19A;19A-2;3460920,634;-1559209,908
19;19-1;3459845,062;-1556670,110
19;19-2;3459589,946;-1556454,892
19;19-3;3459250,188;-1556346,276
19;19-4;3458962,273;-1556398,813
19;19-5;3458616,764;-1556565,451
19;19-6;3458258,356;-1556599,515
19;19-7;3457946,827;-1556414,622
19;19-8;3457696,169;-1556144,098
19;19-9;3457515,184;-1555806,942
19;19-10;3457337,202;-1555130,595
19;19-11;3457331,033;-1555504,307
19;19-12;3457289,079;-1554759,922
19;19-13;3456944,263;-1554597,140
19;19-14;3456944,727;-1554222,665
19;19-15;3457104,920;-1553894,223
19;19-16;3456874,349;-1553710,502
20;20-1;3460625,149;-1545301,024
20;20-2;3460552,099;-1545662,524
20;20-3;3460656,925;-1546012,564
20;20-4;3460921,312;-1546300,659
20;20-5;3460829,517;-1546602,287
20;20-6;3460714,594;-1546972,461
20;20-7;3460577,028;-1547305,441
20;20-8;3460225,276;-1547486,281
20;20-9;3460275,025;-1547660,521
20;20-10;3460214,550;-1548028,834
20;20-11;3460047,024;-1548379,950
20;20-12;3460037,343;-1548776,759
20;20-13;3459784,991;-1549023,487
20;20-14;3459425,805;-1549069,471
21;21-1;3462740,569;-1551070,890
21;21-2;3462591,395;-1551418,250
21;21-3;3462593,984;-1551783,370
21;21-4;3462607,001;-1552142,720
21;21-5;3462734,680;-1552462,110
21;21-6;3462598,270;-1552809,840
21;21-7;3462798,213;-1553078,780
21;21-8;3463136,669;-1553195,110
21;21-9;3463329,065;-1553513,880
21;21-10;3463355,088;-1553868,680
21;21-11;3463365,051;-1554248,220
21;21-12;3463544,660;-1554534,650
21;21-13;3463553,974;-1554886,270
21;21-14;3463768,271;-1555185,290
21;21-15;3463922,192;-1555525,450
21;21-16;3464156,110;-1555823,390
21;21-17;3464219,958;-1556177,390
21;21-18;3464324,447;-1556547,610
21;21-19;3464378,057;-1556918,190
21;21-20;3464643,943;-1557150,490
21;21-21;3464607,919;-1557530,240
21;21-22;3464282,326;-1557642,280
21;21-23;3463951,000;-1557788,720
21;21-24;3463589,234;-1557795,780
21;21-25;3463374,614;-1558086,340
21;21-26;3463317,833;-1558378,340
21;21-27;3462970,205;-1558494,170
21;21-28;3462612,875;-1558589,440
21;21-29;3462257,674;-1558719,280
21;21-30;3461943,418;-1558901,060
21;21-31;3461620,620;-1559075,240
21;21-32;3461359,620;-1559174,350
21;21-33;3461046,438;-1559114,110
22;22-1;3464214,411;-1550524,716
22;22-2;3463932,132;-1550699,088
22;22-3;3463605,594;-1550850,330
22;22-4;3463238,923;-1550915,613
22;22-5;3462909,628;-1550890,829
23;23-1;3461596,729;-1548976,597
23;23-2;3461296,452;-1549196,236
23;23-3;3460944,941;-1549278,287
23;23-4;3460597,197;-1549444,942
23;23-5;3460526,140;-1549821,175
23;23-6;3460270,838;-1550110,608
23;23-7;3459932,866;-1550014,110
23;23-8;3459640,439;-1550034,354
24;24-1;3458026,939;-1549601,207
24;24-2;3457975,483;-1549955,498
24;24-3;3457876,295;-1550338,180
24;24-4;3457752,730;-1550705,090
24;24-5;3457603,839;-1551051,636
24;24-6;3457533,418;-1551427,015
24;24-7;3457491,077;-1551811,086
24;24-8;3457504,195;-1552168,115
24;24-9;3457453,037;-1552543,360
24;24-10;3457298,280;-1552904,710
25;25-1;3456020,146;-1552477,847
25;25-2;3455838,422;-1552773,018
25;25-3;3456049,674;-1553047,663
25;25-4;3456200,247;-1553394,351
25;25-5;3456453,351;-1553570,344
26;26-1;3459023,225;-1549059,210
26;26-2;3458854,429;-1549307,400
26;26-3;3458505,452;-1549209,390
26;26-4;3458295,382;-1549398,960
26;26-5;3457831,030;-1549219,490
26;26-6;3457466,345;-1549082,190
26;26-7;3457183,371;-1548816,040
26;26-8;3457187,028;-1548428,240
26;26-9;3457028,001;-1548102,620
26;26-10;3456818,530;-1547815,610
26;26-11;3456512,766;-1547718,580
26;26-12;3456134,490;-1547815,360
26;26-13;3455799,574;-1547916,040
26;26-14;3455509,783;-1548166,320
26;26-15;3455304,638;-1548467,940
26;26-16;3455028,422;-1548699,620
26;26-17;3454904,609;-1549014,080
26;26-18;3454756,799;-1549352,460
26;26-19;3454759,756;-1549718,300
26;26-20;3454623,934;-1549964,170
26;26-21;3454350,521;-1550204,310
26;26-22;3454248,255;-1550580,320
26;26-23;3454413,906;-1550904,690
26;26-24;3454514,965;-1551227,470
26;26-25;3454781,800;-1551444,130
26;26-26;3455155,034;-1551510,800
26;26-27;3455475,706;-1551452,870
26;26-28;3455734,921;-1551667,910
26;26-29;3455739,814;-1552058,340
26;26-30;3456079,573;-1552248,950
26;26-31;3456251,547;-1552545,280
26;26-32;3456311,940;-1552920,600
26;26-33;3456234,612;-1553278,350
26;26-34;3456565,065;-1553487,000
26;26-35;3456923,321;-1553517,190
26;26-36;3457202,833;-1553288,390
26;26-37;3457191,997;-1552921,640
26;26-38;3457095,007;-1552550,230
26;26-39;3456914,131;-1552218,440
26;26-40;3456813,545;-1551850,060
26;26-41;3456763,939;-1551489,480
26;26-42;3456603,242;-1551134,850
26;26-43;3456364,975;-1550834,700
26;26-44;3456058,876;-1550800,650
26;26-45;3455794,934;-1550522,130
26;26-46;3455476,647;-1550354,900
26;26-47;3455227,828;-1550092,110
26;26-48;3455141,455;-1549770,730
27;27-1;3460980,675;-1544720,570
27;27-2;3461208,362;-1544686,510
27;27-3;3461598,796;-1544744,520
27;27-4;3461937,287;-1544661,480
27;27-5;3462079,947;-1544342,010
27;27-6;3462358,573;-1544248,330
27;27-7;3462666,023;-1544116,310
27;27-8;3462949,647;-1544131,137
27;27-9;3463303,901;-1544274,763
27;27-10;3463666,752;-1544149,699
27;27-11;3463613,393;-1544246,487
27;27-12;3463435,808;-1544585,845
27;27-13;3463205,640;-1544901,062
27;27-14;3462900,190;-1545134,744
27;27-15;3462626,595;-1544946,621
27;27-16;3462581,772;-1544573,057
28;28-1;3462106,270;-1544985,193
28;28-2;3461960,741;-1545286,115
28;28-3;3461591,258;-1545394,567
28;28-4;3461289,378;-1545560,065
28;28-5;3461058,161;-1545819,507
28;28-6;3460867,765;-1546063,417
28;28-7;3460612,268;-1545955,652
28;28-8;3460594,640;-1545591,204
28;28-9;3460610,156;-1545315,443
29;29-1;3464520,112;-1550419,688
29;29-2;3464848,168;-1550631,875
29;29-3;3465164,932;-1550836,034
29;29-4;3465512,766;-1551074,520
29;29-5;3465846,969;-1551302,516
29;29-6;3466206,023;-1551493,670
29;29-7;3466483,935;-1551754,937
29;29-8;3466854,462;-1551877,019
29;29-9;3467237,494;-1551838,241
29;29-10;3467553,884;-1552042,259
29;29-11;3467925,269;-1552148,891
29;29-12;3468273,013;-1552298,470
29;29-13;3468592,461;-1552505,324
29;29-14;3468952,543;-1552625,731
29;29-15;3469338,169;-1552658,103
29;29-16;3469711,108;-1552777,961
29;29-17;3470093,901;-1552754,830
29;29-18;3470434,665;-1552843,515
29;29-19;3470767,896;-1552855,922
29;29-20;3471111,519;-1553039,987
29;29-21;3471420,804;-1553247,197
29;29-22;3471758,000;-1553415,786
29;29-23;3471976,980;-1553571,682
30;30-1;3472023,871;-1553671,430
30;30-2;3471995,843;-1553949,240
30;30-3;3471851,793;-1554245,210
30;30-4;3471584,581;-1554169,210
30;30-5;3471262,280;-1554356,030
30;30-6;3471098,314;-1554680,950
30;30-7;3470844,900;-1554907,770
30;30-8;3470773,133;-1555273,330
30;30-9;3470691,254;-1555632,920
30;30-10;3470571,995;-1555985,530
30;30-11;3470434,972;-1556349,340
30;30-12;3470128,085;-1556523,020
30;30-13;3469998,000;-1556858,050
30;30-14;3469927,554;-1557202,160
30;30-15;3469890,295;-1557558,280
30;30-16;3469746,351;-1557922,200
30;30-17;3469516,289;-1558183,350
30;30-18;3469189,756;-1558376,330
30;30-19;3468925,906;-1558646,600
30;30-20;3468614,704;-1558738,490
30;30-21;3468269,701;-1558688,880
30;30-22;3467895,203;-1558731,330
30;30-23;3467535,855;-1558791,440
30;30-24;3467167,092;-1558881,240
30;30-25;3467005,312;-1559207,660
30;30-26;3466865,693;-1559571,320
30;30-27;3466730,487;-1560293,860
30;30-28;3466701,746;-1559906,040
30;30-29;3466615,442;-1560637,510
30;30-30;3466363,521;-1560931,480
30;30-31;3466019,756;-1560948,100
30;30-32;3465991,414;-1561187,180
30;30-33;3465904,455;-1561424,320
30;30-34;3465693,899;-1561660,530
30;30-35;3465376,046;-1561831,830
30;30-36;3465027,543;-1561997,840
30;30-37;3464676,229;-1562092,970
30;30-38;3464479,173;-1562390,400
30;30-39;3464282,660;-1562754,240
30;30-40;3463965,510;-1563106,710
30;30-41;3463671,723;-1563327,600
30;30-42;3463334,966;-1563425,250
